      -0.700000	   6.67681954 	   6.59729087 	   6.67721328
      -0.600000	   6.54351867 	   6.42984745 	   6.54390039
      -0.500000	   6.55763430 	   6.49386384 	   6.55801277
      -0.400000	   6.53583573 	   6.47227509 	   6.53620943
      -0.300000	   6.52253267 	   6.45910240 	   6.52290624
      -0.100000	   6.52112464 	   6.45769347 	   6.52148571
       0.000000	   6.58038451 	   6.51637540 	   6.58074699
       0.100000	   6.52950970 	   6.45170558 	   6.52986515
       0.300000	   6.49611086 	   6.41870008 	   6.49645875
       0.400000	   6.59478412 	   6.53062315 	   6.59513513
       0.500000	   6.54732921 	   6.46930037 	   6.54767270
       0.600000	   6.44434094 	   6.38163815 	   6.44467731
       0.700000	   6.54531135 	   6.48162268 	   6.54564982
       0.800000	   6.54383616 	   6.48015725 	   6.54417054
       0.900000	   6.56202631 	   6.49817196 	   6.56236027
       1.000000	   6.46808754 	   6.39098705 	   6.46841049
       1.100000	   6.46127800 	   6.39839717 	   6.46160144
       1.200000	   6.55028338 	   6.47220469 	   6.55060812
