      -0.700000     0.1497018759    -0.6906941496     0.1052786362     0.6996051378
      -0.600000     0.1496940762    -0.6907380343     0.1052949095     0.6995610292
      -0.500000     0.1496925370    -0.6907831920     0.1052974535     0.6995163845
      -0.400000     0.1496940496    -0.6908196887     0.1053180249     0.6994769209
      -0.300000     0.1497889058    -0.6908321817     0.1051895423     0.6994636092
      -0.100000     0.1496497726    -0.6909498460     0.1053478098     0.6993533405
       0.000000     0.1496860094    -0.6909782540     0.1053020502     0.6993244092
       0.100000     0.1496598749    -0.6910232985     0.1053266258     0.6992817921
       0.300000     0.1496868437    -0.6910941445     0.1053030006     0.6992095611
       0.400000     0.1497248064    -0.6911268756     0.1052528621     0.6991766294
       0.500000     0.1496727729    -0.6911761076     0.1053137194     0.6991299378
       0.600000     0.1497751116    -0.6912139852     0.1052001945     0.6990876638
       0.700000     0.1497405172    -0.6912448758     0.1052441026     0.6990579218
       0.800000     0.1497223619    -0.6912902401     0.1052591344     0.6990146872
       0.900000     0.1498056222    -0.6913168263     0.1051906825     0.6989808592
       1.000000     0.1496967818    -0.6913786139     0.1052818351     0.6989293391
       1.100000     0.1498166598    -0.6913887808     0.1051486264     0.6989136489
       1.200000     0.1498268341    -0.6914264206     0.1051510490     0.6988738667
