      -0.700000  11   4   4   1     0.000
      -0.600000  11   4   4   2     0.000
      -0.500000  11   4   4   3     0.000
      -0.400000  11   4   4   4     0.000
      -0.300000  11   4   4   5     0.000
      -0.200000  21   0   0   0     0.000
      -0.100000  11   4   4   1     0.000
       0.000000  11   4   4   2     0.000
       0.100000  11   4   4   3     0.000
       0.200000  21   0   0   0     0.000
       0.300000  11   4   4   1     0.000
       0.400000  11   4   4   2     0.000
       0.500000  11   4   4   3     0.000
       0.600000  11   4   4   4     0.000
       0.700000  11   4   4   5     0.000
       0.800000  11   4   4   6     0.000
       0.900000  11   4   4   7     0.000
       1.000000  11   4   4   8     0.000
       1.100000  11   4   4   9     0.000
       1.200000  12   4   4  10     0.000
       1.300000  13   4   4  10     0.000
       1.400000  13   4   4  10     0.000
       1.500000  13   4   4  10     0.000
       1.600000  13   4   4  10     0.000
       1.700000  13   4   4  10     0.000
       1.800000  13   4   4  10     0.000
       1.900000  13   4   4  10     0.000
       2.000000  21   4   0   0     0.000
       2.100000  21   4   0   0     0.000
       2.200000  21   4   0   0     0.000
       2.300000  21   5   0   0     0.000
       2.400000  21   5   0   0     0.000
       2.500000  21   5   0   0     0.000
       2.600000  21   5   0   0     0.000
       2.700000  21   5   0   0     0.000
       2.800000  21   5   0   0     0.000
       2.900000  21   5   0   0     0.000
       3.000000  21   5   0   0     0.000
       3.100000  11   5   5   1     0.000
       3.200000  11   5   5   2     0.000
       3.300000  11   5   5   3     0.000
       3.400000  11   5   5   4     0.000
       3.500000  11   5   5   5     0.000
       3.600000  11   5   5   6     0.000
       3.700000  11   5   4   7     0.000
       3.800000  11   5   5   8     0.000
       3.900000  11   5   5   9     0.000
       4.000000  12   5   5  10     0.000
       4.100000  12   5   4  10     0.000
       4.200000  12   5   4  10     0.000
       4.300000  12   5   5  10     0.000
       4.400000  12   5   5  10     0.000
       4.500000  12   5   5  10     0.000
       4.600000  12   5   5  10     0.000
       4.700000  12   5   4  10     0.000
       4.800000  12   5   5  10     0.000
       4.900000  12   5   5  10     0.000
