         -0.700  1    1030    3.58   3.97   0.0000
         -0.700  1    1012    4.81   4.68   0.0000
         -0.700  1    1000    4.59   4.93   0.0000
         -0.700  1    1028    5.13   5.30   0.0000
         -0.600  1    1030    3.58   3.76   0.0000
         -0.600  1    1028    5.13   4.73   0.0000
         -0.600  1    1000    4.59   4.79   0.0000
         -0.600  1    1012    4.81   4.82   0.0000
         -0.500  1    1030    3.58   3.84   0.0000
         -0.500  1    1000    4.59   4.55   0.0000
         -0.500  1    1012    4.81   4.84   0.0000
         -0.500  1    1028    5.13   4.94   0.0000
         -0.400  1    1030    3.58   3.49   0.0000
         -0.400  1    1000    4.59   4.59   0.0000
         -0.400  1    1012    4.81   4.80   0.0000
         -0.400  1    1028    5.13   5.35   0.0000
         -0.300  1    1030    3.58   3.75   0.0000
         -0.300  1    1000    4.59   4.51   0.0000
         -0.300  1    1012    4.81   4.74   0.0000
         -0.300  1    1028    5.13   4.99   0.0000
         -0.100  1    1030    3.58   3.78   0.0000
         -0.100  1    1000    4.59   4.40   0.0000
         -0.100  1    1012    4.81   4.83   0.0000
         -0.100  1    1028    5.13   4.97   0.0000
          0.000  1    1030    3.58   3.48   0.0000
          0.000  1    1000    4.59   4.77   0.0000
          0.000  1    1012    4.81   4.99   0.0000
          0.000  1    1028    5.13   5.26   0.0000
          0.100  1    1030    3.58   3.33   0.0000
          0.100  1    1012    4.81   4.71   0.0000
          0.100  1    1000    4.59   4.98   0.0000
          0.100  1    1028    5.13   5.25   0.0000
          0.300  1    1030    3.58   3.65   0.0000
          0.300  1    1012    4.81   4.46   0.0000
          0.300  1    1000    4.59   4.76   0.0000
          0.300  1    1028    5.13   5.00   0.0000
          0.400  1    1030    3.58   3.73   0.0000
          0.400  1    1000    4.59   4.57   0.0000
          0.400  1    1012    4.81   4.93   0.0000
          0.400  1    1028    5.13   5.24   0.0000
          0.500  1    1030    3.58   3.53   0.0000
          0.500  1    1012    4.81   4.63   0.0000
          0.500  1    1000    4.59   4.64   0.0000
          0.500  1    1028    5.13   5.51   0.0000
          0.600  1    1030    3.58   3.48   0.0000
          0.600  1    1000    4.59   4.31   0.0000
          0.600  1    1012    4.81   4.67   0.0000
          0.600  1    1028    5.13   5.20   0.0000
          0.700  1    1030    3.58   3.51   0.0000
          0.700  1    1000    4.59   4.63   0.0000
          0.700  1    1012    4.81   4.90   0.0000
          0.700  1    1028    5.13   5.22   0.0000
          0.800  1    1030    3.58   3.68   0.0000
          0.800  1    1000    4.59   4.60   0.0000
          0.800  1    1012    4.81   4.67   0.0000
          0.800  1    1028    5.13   5.22   0.0000
          0.900  1    1030    3.58   3.42   0.0000
          0.900  1    1000    4.59   4.78   0.0000
          0.900  1    1012    4.81   4.94   0.0000
          0.900  1    1028    5.13   5.28   0.0000
          1.000  1    1030    3.58   3.30   0.0000
          1.000  1    1012    4.81   4.84   0.0000
          1.000  1    1000    4.59   4.84   0.0000
          1.000  1    1028    5.13   4.88   0.0000
          1.100  1    1030    3.58   3.60   0.0000
          1.100  1    1000    4.59   4.29   0.0000
          1.100  1    1012    4.81   4.84   0.0000
          1.100  1    1028    5.13   4.96   0.0000
          1.200  1    1030    3.58   3.74   0.0000
          1.200  1    1012    4.81   4.54   0.0000
          1.200  1    1000    4.59   4.63   0.0000
          1.200  1    1028    5.13   5.29   0.0000
